route_id,route_color,route_grade,type,category,wall,offset,rating,start_date,end_date,month
ab1d196333bdaeb3d6c753583a726bda,Black,5.9,route,Routes Auto Belays,wall-auto-belay,222.7,4.0,2019-03-20,2019-06-20,2019-03
7b61373fc1aba9c3c8f6e892d9861b3e,White,5.8,route,Routes Right of Auto Belay,wall-auto-belay,126.5,,2019-03-14,2019-08-14,2019-03
7a3d854431de1e5aa4c33e91f0d58f93,Yellow,5.6,route,Routes Right of Auto Belay,wall-auto-belay,125.8,2.0,2019-03-14,2019-08-14,2019-03
0846a6514d61e9385e0457455481d3d3,Lime Green,5.10c,route,Routes Island Low Bay Left,wall-island,211.0,4.67,2019-03-28,2019-07-12,2019-03
3a71f71cfad3b03a0b536d1be2a37d25,Blue,5.10b,route,Routes Auto Belays,wall-auto-belay,149.5,4.33,2019-03-07,2019-08-14,2019-03
c5d5744d13da46ba8ef290bd714fc97b,Lime Green,5.9,route,Routes Right of Auto Belay,wall-auto-belay,88.9,4.0,2019-03-10,2019-07-10,2019-03
079cdf71146f1a0495427e173343df72,Tan,5.8,route,Routes Auto Belays,wall-auto-belay,150.1,5.0,2019-03-07,2019-08-14,2019-03
8320601d1d82745e265062f782da8b73,Red,5.8,route,Routes Auto Belays,wall-auto-belay,342.5,4.67,2019-03-21,2019-06-27,2019-03
99d687a3caf41aab9c73809769394aec,Blue,5.5,route,Routes Auto Belays,wall-auto-belay,343.2,5.0,2019-03-21,2019-06-27,2019-03
dc831d64802943da2d7db673a3fae2d5,Pink,5.11a,route,Routes Island Low Bay Left,wall-island,107.8,4.5,2019-03-28,2019-06-26,2019-03
479cf855933d7204f9f285ea7bcc034a,White,5.12a,route,Routes Island Low Bay Left,wall-island,211.7,4.6,2019-03-28,2019-07-12,2019-03
3092485929d271da6e675e264546da34,Yellow,5.8,route,Routes Island Low Bay Left,wall-island,92.7,5.0,2019-03-07,2019-06-24,2019-03
8561c5ace900e42aa8247972339af257,Blue,5.8,route,Routes Island Low Bay Left,wall-island,182.8,4.0,2019-03-29,2019-06-26,2019-03
0053c78e855a34309169343c75e7f57e,Lime Green,5.7,route,Routes Island Low Bay Left,wall-island,106.8,,2019-03-28,2019-06-26,2019-03
3d003702bd00a97676172f02e58e5330,Black,5.10a,route,Routes Island High Bay Right,wall-island,590.5,3.83,2019-03-22,2019-06-30,2019-03
e3e34569a4a7dcb07cef8ad3fda0bc68,Purple,5.10a,route,Routes Island Low Bay Left,wall-island,127.1,4.75,2019-03-28,2019-06-23,2019-03
a76b5d99512451386b75448099c67d2d,Red,5.9,route,Routes Island Low Bay Left,wall-island,141.6,4.0,2019-03-31,2019-06-26,2019-03
45a7004461d8305f97d82064a54e92be,Yellow,5.9,route,Routes Auto Belays,wall-auto-belay,250.5,3.8,2019-03-20,2019-06-20,2019-03
966c5d90026c88617bd8924dd4978fca,Yellow,5.7,route,Routes Auto Belays,wall-auto-belay,304.0,5.0,2019-03-20,2019-06-20,2019-03
507c962f32ebb6a603428201c8913ed7,Purple,5.11a,route,Routes Auto Belays,wall-auto-belay,302.7,3.67,2019-03-20,2019-06-20,2019-03
77310b734169479ba2bfaf616b222e5e,Red,5.10a,route,Routes Auto Belays,wall-auto-belay,273.7,4.5,2019-03-20,2019-06-19,2019-03
5a4c12e68cf416567a08cdcd433e2005,Pink,5.11d,route,Routes Auto Belays,wall-auto-belay,222.1,4.2,2019-03-20,2019-06-20,2019-03
28d920011c90248d182ed9653d3a6740,Blue,5.10c,route,Routes Auto Belays,wall-auto-belay,249.8,4.0,2019-03-20,2019-06-20,2019-03
7c63e4a4dbff7fc3fe02c1464141dd12,Yellow,5.7,route,Routes Island Low Bay Left,wall-island,142.7,2.0,2019-03-31,2019-06-26,2019-03
4cfb8d2eef7a14a79f759f58006546d5,White,5.8,route,Routes Island Low Bay Left,wall-island,126.0,4.75,2019-03-28,2019-06-23,2019-03
e014396fa4f102037f9d09a5d7a47c5f,Purple,5.9,route,Routes Yellow Wall,wall-back-wall,1199.9,4.5,2019-03-28,2019-06-19,2019-03
1c4d7d04ea79db2db9de8f397012b532,Black,5.9,route,Routes Island Low Bay Left,wall-island,163.0,4.0,2019-03-30,2019-06-23,2019-03
11dde1fc9c345dfa3aa0fff636444eca,Lime Green,5.7,route,Routes Auto Belays,wall-auto-belay,197.6,4.0,2019-03-06,2019-06-16,2019-03
07a32e251f38e9278d67cb823e491b21,White,5.6,route,Routes Auto Belays,wall-auto-belay,223.4,4.0,2019-03-20,2019-06-20,2019-03
11cb2c909ceecb6dfea8393b8d3ec3b3,White,5.8,route,Routes Auto Belays,wall-auto-belay,274.3,4.33,2019-03-20,2019-06-19,2019-03
33a9a36df96d83a287cdf2fe1abfc6bc,Tan,5.6,route,Routes Auto Belays,wall-auto-belay,251.1,4.5,2019-03-20,2019-06-20,2019-03
